Punch count,Type,Hand,Speed(mph),Power (lbs/f)
124,Improper,L,13,95
125,Improper,L,12,90
126,Improper,L,13,99
127,Improper,L,12,84
128,Improper,L,12,86
129,Improper,L,13,84
130,Improper,L,12,83
131,Improper,L,16,105
132,Improper,L,14,88
133,Improper,L,12,84
134,Improper,L,12,80
135,Improper,L,15,99
136,Improper,L,15,109
137,Improper,L,13,81
138,Improper,L,12,85
139,Jab,L,14,93
140,Jab,L,13,86
141,Jab,L,13,83
142,Jab,L,13,82
143,Improper,R,14,116
144,Improper,R,14,107
145,Improper,R,15,136
146,Improper,R,14,113
147,Improper,R,14,114
148,Improper,R,13,120
149,Improper,R,13,118
150,Improper,R,15,130
151,Jab,L,14,95
152,Improper,R,14,141
153,Improper,L,13,94
154,Improper,R,15,136
155,Improper,L,13,92
156,Improper,R,14,108
157,Improper,L,12,92
158,Improper,L,14,145
159,Improper,L,15,104
160,Improper,L,14,107
161,Improper,L,13,87
162,Improper,R,12,94
163,Jab,L,12,87
164,Improper,R,13,114
165,Improper,L,13,83
166,Cross,R,15,129
167,Jab,L,13,91
168,Cross,R,12,89
169,Jab,L,14,99
170,Improper,R,13,127
171,Improper,L,13,95
172,Improper,R,13,119
173,Improper,L,12,83
174,Improper,R,13,111
175,Hook,L,18,140
176,Hook,R,19,161
177,Improper,L,20,182
178,Hook,R,18,177
179,Improper,L,21,188
180,Hook,R,18,179
181,Improper,L,12,81
182,Cross,R,14,132
183,Improper,L,14,87
184,Cross,R,13,117
185,Improper,L,11,80
186,Improper,R,12,91
187,Improper,L,19,130
188,Hook,R,21,173
189,Improper,L,20,152
190,Hook,R,20,161
191,Improper,L,20,172
192,Hook,R,20,167
193,Improper,L,13,84
194,Improper,R,11,83
195,Jab,L,9,83
196,Cross,R,13,92
197,Improper,R,11,84
198,Cross,R,13,90
199,Jab,L,10,83
200,Cross,R,12,90
201,Jab,L,13,82
202,Improper,R,13,103
203,Improper,R,13,92
204,Jab,L,12,81
205,Improper,R,12,89
206,Jab,L,10,81
207,Cross,R,12,85
208,Improper,R,11,91
209,Improper,R,14,110
210,Improper,R,12,88
211,Improper,L,18,140
212,Improper,R,17,146
